('bin', 54.0, 'DS', 0.0016038220021736508, 'H2O', 0.03553566396972991, 'Na', 0.0013207945900253594, 'Br', 0.00037736988286438843)
('bin', 55.0, 'DS', 0.0014151370607414565, 'H2O', 0.035409874008775113, 'Na', 0.00018868494143219422, 'Br', 0.00018868494143219422)
('bin', 56.0, 'DS', 0.0010871846625378808, 'H2O', 0.03459223926256894, 'Na', 0.00018868494143219422, 'Br', 0.00018868494143219422)
('bin', 57.0, 'DS', 0.0009074847183167436, 'H2O', 0.03364881455540797, 'Na', 0.00018868494143219422, 'Br', 0.0)
('bin', 58.0, 'DS', 0.0005166373396357698, 'H2O', 0.03427776436018195, 'Na', 0.00018868494143219422, 'Br', 0.00037736988286438843)
('bin', 59.0, 'DS', 0.00024708742330406384, 'H2O', 0.0324538099263374, 'Na', 0.00037736988286438843, 'Br', 0.00018868494143219422)
('bin', 60.0, 'DS', 0.00011231246513821083, 'H2O', 0.03301986475063399, 'Na', 0.0005660548242965826, 'Br', 0.0)
('bin', 61.0, 'DS', 3.1447490238699034e-05, 'H2O', 0.03396328945779496, 'Na', 0.00018868494143219422, 'Br', 0.00037736988286438843)
('bin', 62.0, 'DS', 8.984997211056866e-06, 'H2O', 0.03415197439922715, 'Na', 0.0, 'Br', 0.00018868494143219422)
('bin', 63.0, 'DS', 0.0, 'H2O', 0.03094433039487985, 'Na', 0.00037736988286438843, 'Br', 0.00018868494143219422)
('bin', 64.0, 'DS', 0.0, 'H2O', 0.031887755102040824, 'Na', 0.0, 'Br', 0.00018868494143219422)
('bin', 65.0, 'DS', 0.0, 'H2O', 0.03408907941874976, 'Na', 0.00037736988286438843, 'Br', 0.0)
('bin', 66.0, 'DS', 0.0, 'H2O', 0.03295696977015659, 'Na', 0.0005660548242965826, 'Br', 0.00037736988286438843)
('bin', 67.0, 'DS', 0.0, 'H2O', 0.033585919574930574, 'Na', 0.00018868494143219422, 'Br', 0.00037736988286438843)
('bin', 68.0, 'DS', 0.0, 'H2O', 0.03138459525822164, 'Na', 0.0, 'Br', 0.00018868494143219422)
('bin', 69.0, 'DS', 0.0, 'H2O', 0.031195910316789446, 'Na', 0.00018868494143219422, 'Br', 0.0005660548242965826)
('bin', 70.0, 'DS', 0.0, 'H2O', 0.03390039447731756, 'Na', 0.0, 'Br', 0.00018868494143219422)
('bin', 71.0, 'DS', 0.0, 'H2O', 0.030881435414402452, 'Na', 0.00018868494143219422, 'Br', 0.00037736988286438843)
('bin', 72.0, 'DS', 0.0, 'H2O', 0.0326424948677696, 'Na', 0.00018868494143219422, 'Br', 0.0)
('bin', 73.0, 'DS', 0.0, 'H2O', 0.033774604516362765, 'Na', 0.0005660548242965826, 'Br', 0.00018868494143219422)
('bin', 74.0, 'DS', 0.0, 'H2O', 0.032516704906814804, 'Na', 0.00018868494143219422, 'Br', 0.00018868494143219422)
('bin', 75.0, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 76.0, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 77.0, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 78.0, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 79.0, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 80.0, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 81.0, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 82.0, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 83.0, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 84.0, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 85.0, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
('bin', 86.0, 'DS', 0.0, 'H2O', 0.0, 'Na', 0.0, 'Br', 0.0)
